========== TABLE VIEW (ASC SYMBOL LIST) ==========

Total Lines in File     : 2176
Parsed Table Entries    : 1844
Other Tags Entries      : 309
Unparsed Lines          : 23

========== ADDRESS COUNTS ==========
Addresses starting with IW   : 1480
Addresses starting with I    : 257
Addresses starting with QW   : 26
Addresses starting with Q    : 81

========== TYPE COUNTS ==========
Total BOOL Tags : 338
Total WORD Tags : 306

====================================

---- PARSED SYMBOL TABLE DATA ----

Line   Block    SymbolName                          Address      Type2  Comment
452    126      G01NHY01KF001-FC41;XB01             I1721.4      BOOL   210VAC UPS Monitoring - I&C Cabinet Array - no trip active
453    126      G01NHY01KF001-FC42;XB01             I1721.5      BOOL   210VAC UPS Distribution - 24VDC UPS Generation Channel 2 - no trip active
454    126      G01NHY01KF001-FC43;XB01             I1721.6      BOOL   210VAC UPS Distribution - Cell-Voltage-Measurement SG1 - no trip active
455    126      G01NHY01KF001-FC44;XB01             I1721.7      BOOL   210VAC UPS Distribution - Cell-Voltage-Measurement SG2 - no trip active
456    126      G01NHY01KF001-FC45;XB01             I1724.0      BOOL   210VAC UPS Distribution - Cell-Voltage-Measurement SG3 - no trip active
457    126      G01NHY01KF001-FC46;XB01             I1724.1      BOOL   210VAC UPS Distribution - Cell-Voltage-Measurement SG4 - no trip active
458    126      G01NHY01KF001-FC47;XB01             I1724.2      BOOL   210VAC UPS Distribution - Cell-Voltage-Measurement SG5 - no trip active
459    126      G01NHY01KF001-FC48;XB01             I1724.3      BOOL   210VAC UPS Distribution - Cell-Voltage-Measurement SG6 - no trip active
460    126      G01NHY01KF001-FC49;XB01             I1724.4      BOOL   210VAC UPS Distribution - Gas Analytic H2 - no trip active
461    126      G01NHY01KF001-FC50;XB01             I1724.5      BOOL   210VAC UPS Distribution - Gas Analytic O2 - no trip active
462    126      G01NHY01KF001-FC51;XB01             I1724.6      BOOL   210VAC UPS Distribution - Spare - Feedback On
463    126      G01NHY01KF001-FC52;XB01             I1724.7      BOOL   210VAC UPS Distribution - Spare - Feedback On
464    126      G01NHY01KF001-QA11;XB01             I1725.1      BOOL   400VAC Distribution - Water Refinement Pump - no trip active
465    126      G01NHY01KF001-QA12;XB01             I1725.2      BOOL   400VAC Distribution - Spare - Feedback On
466    126      G01NHY01KF001-QA13;XB01             I1725.3      BOOL   400VAC Distribution - Water Refinement Pump - no trip active
467    126      G01NHY01KF001-QA14;XB01             I1725.4      BOOL   400VAC Distribution - Spare - Feedback On
468    126      G01NHY01KF001-TB01;XB01             I1725.5      BOOL   SITOP 24VDC UPS Generation From Grid - I&C Cabinet Array - No trip active
469    126      G01NHY01KF001-TB02;XB01             I1725.6      BOOL   SITOP 24VDC UPS Generation From UPS - I&C Cabinet Array - No trip active
471    126      G01NHA01BZ013-TF01;XW01             I2000.0      BOOL   DC Isolation Monitoring - Rectifier 3 - Warning
472    126      G01NHA01BZ013-TF01;XW02             I2000.1      BOOL   DC Isolation Monitoring - Rectifier 3 - Alarm
473    126      G01NHA01BZ011-TF01;XW01             I2000.2      BOOL   DC Isolation Monitoring - Rectifier 1 - Warning
474    126      G01NHA01BZ011-TF01;XW02             I2000.3      BOOL   DC Isolation Monitoring - Rectifier 1 - Alarm
475    126      G01NHA01BZ014-TF01;XW01             I2000.4      BOOL   DC Isolation Monitoring - Rectifier 4 - Warning
476    126      G01NHA01BZ014-TF01;XW02             I2000.5      BOOL   DC Isolation Monitoring - Rectifier 4 - Alarm
477    126      G01NHA01BZ012-TF01;XW01             I2000.6      BOOL   DC Isolation Monitoring - Rectifier 2 - Warning
478    126      G01NHA01BZ012-TF01;XW02             I2000.7      BOOL   DC Isolation Monitoring - Rectifier 2 - Alarm
479    126      G01NHA01QZ001-QB11;XB02             I2001.0      BOOL   Main switch - Disconnector DC+ Rectifier 1 - Feedback open
480    126      G01NHA01QZ001-QB12;XB02             I2001.1      BOOL   Main Switch - Disconnector DC- Rectifier 1 - Feedback open
481    126      G01NHA01QZ002-QB11;XB01             I2001.2      BOOL   Main switch - Disconnector DC+ Rectifier 2 - Feedback open
482    126      G01NHA01QZ002-QB12;XB02             I2001.3      BOOL   Main Switch - Disconnector DC- Rectifier 2 - Feedback open
483    126      G01NHA01KF001-BA11;XB01             I2001.4      BOOL   400VAC Monitoring - Rectifier Cabinet 1 - Alarm
484    126      G01NHA01KF001-BA21;XB01             I2001.5      BOOL   210VAC Monitoring - Rectifier Cabinet 1 - Alarm
485    126      G01NHA01KF001-BA41;XB01             I2001.6      BOOL   210VAC UPS Monitoring - Rectifier Cabinet 1 - Alarm
486    126      G01NHA01KF001-FC01;XB01             I2001.7      BOOL   24VDC UPS Distribution - Rec 1&2 PS/MV CB/Tap Changer - Feedback On
487    126      G01NHA01KF001-FC02;XB01             I2004.0      BOOL   24VDC UPS Distribution - ET200SP HA Power Supply - Feedback On
488    126      G01NHA01KF001-FC03;XB01             I2004.1      BOOL   24VDC UPS Distribution - Measuring Cab./Discharge Resistor 1&2 - Feedback On
489    126      G01NHA01KF001-FC11;XB01             I2004.2      BOOL   400VAC Monitoring - Rectifier Cabinet 1 - Feedback On
490    126      G01NHA01KF001-FC21;XB01             I2004.3      BOOL   210VAC Monitoring - Rectifier Cabinet 1 - Feedback On
491    126      G01NHA01KF001-FC22;XB01             I2004.4      BOOL   210VAC Distribution - Cooling Fan Discharge Resistor 1 - Feedback On
492    126      G01NHA01KF001-FC23;XB01             I2004.5      BOOL   210VAC Distribution - Cooling Fan Discharge Resistor 2 - Feedback On
493    126      G01NHA01KF001-FC24;XB01             I2004.6      BOOL   210VAC Distribution - Cooling Fan Discharge Resistor 3 - Feedback On
494    126      G01NHA01KF001-FC25;XB01             I2004.7      BOOL   210VAC Distribution - Cooling Fan Discharge Resistor 4 - Feedback On
495    126      G01NHA01KF001-FC26;XB01             I2005.0      BOOL   210VAC Distribution - Rectifier Cooling Unit - Feedback On
496    126      G01NHA01KF001-FC27;XB01             I2005.1      BOOL   210VAC Distribution - Rectifier Cabinet 1 Fan - Feedback On
497    126      G01NHA01KF001-FC28;XB01             I2005.2      BOOL   210VAC Distribution - Spare - Feedback On
498    126      G01NHA01KF001-FC29;XB01             I2005.3      BOOL   210VAC Distribution - Spare - Feedback On
